year,Type of contaminant,Public electricity generation,Road transport,Navigation,Civil aviation,Other combustion (1),Non-combustion (2),Total emissions (without hill fires),Hill fires,Total emissions (with hill fires)
2013,Sulphur Dioxide (SO2),14680,50,19020,440,310,-,34500,20,34530
2013,Nitrogen Oxides (NOx),34580,26800,34310,5480,10810,-,111980,110,112080
2013,Respirable Suspended Particulates (PM10),940,890,2310,60,960,950,6100,1300,7410
2013,Fine Suspended Particulates (PM2.5),440,820,2140,60,890,480,4840,1070,5900
2013,Volatile Organic Compounds (VOC),460,5700,6080,470,1100,17110,30930,280,31210
2013,Carbon Monoxide (CO),3930,43900,20580,2990,6210,-,77610,3070,80690
2014,Sulphur Dioxide (SO2),16880,40,15580,460,230,-,33180,0,33190
2014,Nitrogen Oxides (NOx),36210,22500,34960,5820,10190,-,109690,20,109710
2014,Respirable Suspended Particulates (PM10),980,730,2150,60,900,910,5730,280,6010
2014,Fine Suspended Particulates (PM2.5),460,670,1980,60,850,470,4480,230,4710
2014,Volatile Organic Compounds (VOC),470,5200,6010,490,1060,15470,28700,60,28760
2014,Carbon Monoxide (CO),3960,35200,19630,3220,5770,-,67770,660,68430
2015,Sulphur Dioxide (SO2),7280,40,12520,470,230,-,20540,10,20550
2015,Nitrogen Oxides (NOx),26090,20100,33240,5710,9460,-,94590,60,94650
2015,Respirable Suspended Particulates (PM10),580,520,1910,60,800,920,4790,740,5520
2015,Fine Suspended Particulates (PM2.5),300,480,1760,60,760,480,3830,600,4440
2015,Volatile Organic Compounds (VOC),420,5000,5100,480,990,15340,27330,160,27490
2015,Carbon Monoxide (CO),3580,30900,18680,3220,6070,-,62460,1720,64180
2016,Sulphur Dioxide (SO2),8020,40,8970,480,170,-,17680,10,17680
2016,Nitrogen Oxides (NOx),25620,18400,30950,5910,8590,-,89470,30,89500
2016,Respirable Suspended Particulates (PM10),610,450,1570,60,730,890,4300,370,4670
2016,Fine Suspended Particulates (PM2.5),310,410,1460,60,690,480,3400,300,3700
2016,Volatile Organic Compounds (VOC),430,4900,4970,470,890,15820,27480,80,27560
2016,Carbon Monoxide (CO),3690,31100,19840,3250,5730,-,63600,850,64450
2017,Sulphur Dioxide (SO2),7000,40,8550,510,190,-,16300,30,16320
2017,Nitrogen Oxides (NOx),22640,16400,29860,6440,7120,-,82450,140,82590
2017,Respirable Suspended Particulates (PM10),630,420,1490,60,610,870,4080,1690,5780
2017,Fine Suspended Particulates (PM2.5),320,390,1390,60,570,480,3210,1380,4590
2017,Volatile Organic Compounds (VOC),400,4900,3870,550,700,14690,25110,360,25470
2017,Carbon Monoxide (CO),3450,30100,18470,3690,5340,-,61050,3950,65000
2018,Sulphur Dioxide (SO2),7630,40,8290,470,180,-,16600,50,16650
2018,Nitrogen Oxides (NOx),23550,14800,27980,5780,7530,-,79650,250,79900
2018,Respirable Suspended Particulates (PM10),630,380,1430,60,610,910,4020,3100,7120
2018,Fine Suspended Particulates (PM2.5),320,350,1330,60,580,490,3110,2540,5650
2018,Volatile Organic Compounds (VOC),410,4900,3650,510,720,13460,23650,670,24320
2018,Carbon Monoxide (CO),3470,31600,20250,3460,5290,-,64070,7240,71310
2019,Sulphur Dioxide (SO2),5340,40,2560,450,160,-,8540,10,8550
2019,Nitrogen Oxides (NOx),23160,12700,26250,5700,7350,-,75160,40,75190
2019,Respirable Suspended Particulates (PM10),570,330,1040,50,590,900,3490,440,3930
2019,Fine Suspended Particulates (PM2.5),300,300,970,50,560,470,2640,360,3000
2019,Volatile Organic Compounds (VOC),400,4900,3830,480,690,11910,22220,100,22320
2019,Carbon Monoxide (CO),3350,30100,21920,3330,5140,-,63850,1040,64890
2020,Sulphur Dioxide (SO2),2550,40,1930,200,140,-,4850,20,4870
2020,Nitrogen Oxides (NOx),13840,10800,20500,2640,7760,-,55550,110,55660
2020,Respirable Suspended Particulates (PM10),390,280,860,20,610,780,2940,1370,4320
2020,Fine Suspended Particulates (PM2.5),250,250,800,20,570,400,2290,1120,3410
2020,Volatile Organic Compounds (VOC),320,5100,3600,220,740,11920,21900,290,22190
2020,Carbon Monoxide (CO),2600,27000,21190,1440,5210,-,57440,3170,60610
2021,Sulphur Dioxide (SO2),2740,30,1600,210,140,-,4710,20,4740
2021,Nitrogen Oxides (NOx),14760,10300,18220,2800,7000,-,53080,120,53200
2021,Respirable Suspended Particulates (PM10),410,290,720,20,550,820,2820,1470,4280
2021,Fine Suspended Particulates (PM2.5),260,270,670,20,520,430,2170,1200,3370
2021,Volatile Organic Compounds (VOC),340,5000,3270,200,670,12420,21910,310,22230
2021,Carbon Monoxide (CO),2760,28000,20380,1300,4710,-,57140,3380,60520
2022,Sulphur Dioxide (SO2),2660,30,1350,190,150,-,4390,10,4400
2022,Nitrogen Oxides (NOx),13480,9300,15920,2570,8750,-,50010,30,50040
2022,Respirable Suspended Particulates (PM10),370,280,630,20,750,790,2840,440,3280
2022,Fine Suspended Particulates (PM2.5),240,250,590,20,720,410,2220,360,2580
2022,Volatile Organic Compounds (VOC),330,4700,3100,230,920,11860,21130,90,21220
2022,Carbon Monoxide (CO),2640,25700,20400,1440,4660,-,54850,960,55810
